longitude,latitude,Feature:string,GLF#:integer,parent_ima:string,glf_head_e:double,glf_head_l:double,glf_termin:double,glf_termin1:double,midchannel:double,midchannel1:double,midchannel2:double,midchannel3:double,center_e_l:double,center_lat:double,glf_length:double,glf_width_:double,glf_area_s:double,glf_orient:double,buffer_min:double,buffer_max:double,buffer_mea:double,buffer_std:double,elongation:double,Fill Color:color
354.10245,37.932,point,1,P21_009154_2175_XN_37N005W,354.0679,37.8926,354.137,37.9773,354.1128,37.9297,354.074,37.9343,354.1,37.93,5.97,1.83,10.95,32.73,-4458.0,-3514.0,-4028.23,258.31,3.25,0 204 255
354.08731,37.98025,point,2,P21_009154_2175_XN_37N005W,354.0391,37.9866,354.1355,37.9966,354.0084,37.9612,354.0835,37.9993,354.09,37.98,4.54,4.17,18.95,82.47,-4526.0,-3724.0,-4139.17,262.31,1.09,0 204 255
350.24051,38.32485,point,3,P15_006992_2194_XN_39N009W,350.2195,38.3181,350.2615,38.3433,350.2534,38.3181,350.2412,38.3316,350.24,38.32,2.46,0.98,2.41,52.58,-4450.0,-3651.0,-4161.05,190.6,2.51,0 204 255
350.6861,38.28855,point,4,P15_006992_2194_XN_39N009W,350.6918,38.2724,350.6804,38.3067,350.6906,38.2897,350.6771,38.2874,350.69,38.29,2.1,0.64,1.35,345.38,-4204.0,-3521.0,-3835.81,199.23,3.27,0 204 255
349.66675,40.0408,point,5,P16_007348_2224_XI_42N010W,349.6375,40.0437,349.696,40.0408,349.6633,40.0332,349.6692,40.0484,349.67,40.04,2.66,0.94,2.5,93.69,-4135.0,-3141.0,-3818.06,280.98,2.83,0 204 255
348.62964,30.5232,point,6,P13_006201_2100_XN_30N011W,348.6602,30.585,348.5991,30.4649,348.6406,30.5259,348.6438,30.5205,348.63,30.52,7.77,0.36,2.79,203.68,-3861.0,-3534.0,-3751.73,50.48,21.63,0 204 255
291.19101,46.161,point,7,P15_006915_2243_XN_44N068W,290.814,46.327,291.568,46.065,291.166,46.134,291.164,46.188,291.19,46.16,34.61,3.2,110.82,116.38,-1463.0,-513.0,-1077.78,233.92,10.81,0 204 255
288.17896,49.5464,point,8,P16_007192_2287_XN_48N071W,288.1875,49.5574,288.1704,49.5371,288.1716,49.5491,288.1841,49.5437,288.18,49.55,1.37,0.58,0.79,208.67,-3305.0,-2642.0,-3028.53,206.5,2.37,0 204 255
288.5867,48.2737,point,9,P16_007192_2287_XN_48N071W,288.5635,48.2781,288.6099,48.2708,288.584,48.2664,288.5847,48.281,288.59,48.27,1.88,0.87,1.63,103.28,-2431.0,-1399.0,-1823.57,360.64,2.17,0 204 255
289.04971,48.1116,point,10,P16_007192_2287_XN_48N071W,289.043,48.1299,289.0564,48.0996,289.0415,48.1099,289.0574,48.1133,289.05,48.11,1.87,0.66,1.24,163.55,-2430.0,-1232.0,-1653.17,367.67,2.83,0 204 255
287.6489,47.89305,point,11,P22_009697_2293_XN_49N072W,287.6733,47.9339,287.6245,47.8538,287.6289,47.8967,287.668,47.8894,287.65,47.89,5.13,1.61,8.27,202.24,-1615.0,-1030.0,-1374.9,134.59,3.18,0 204 255
